Text
"셀프라면/컵라면
라밥, 해장라면
치즈/떡/만두라면
카페디저트/간식류"
"셀프라면/컵라면
라밥, 해장라면
치즈/떡/만두라면
카페디저트/간식류"
"셀프라면/컵라면
라밥, 해장라면
치즈/떡/만두라면
카페디저트/간식류"
"셀프라면/컵라면
라밥, 해장라면
치즈/떡/만두라면
카페디저트/간식류"
" 
셀프라면류
떡/해장/만두/치즈
라면류"
"/치즈돈까스
치킨까스/제육덮밥
우동2종
돈육김치찌개
육개장"
"등심돈까스/생선까스
소고기카레덮밥
제육덮밥
치킨마요덮밥
소고기쌀국수
돌손알밥
"
"등심돈까스/치즈돈까스
치킨까스/제육덮밥
전통비빔밥
소고기카레덮밥
미트볼스파게티
돈육김치찌개/돌솥알밥
 "
"등심돈까스/치킨까스
고구마돈까스
제육덮밥
치킨마요덮밥
새우/꼬치어묵우동
맑은곰탕/육개장
"
"등심돈까스/치즈돈까스
생선까스
제육덮밥/치킨마요
짜장면&밥
소고기쌀국수
전통비빔밥/설렁탕
"
"백미밥
해물짬뽕순두부국
간장치킨맛탕수육
배추겉절이/매실차
쫄면야채무침"
"현미밥
우거지된장국
매콤감자닭조림
콩나물겨자무침
깍두기/계절과일"
"렌틸콩밥
돼지고기김치찌개
야채계란찜
느타리어묵볶음
무생채/숭늉"
"치자밥
사골떡만두국
메추리알돈육조림
마늘쫑무침
깍두기"
